B-5-B,B-6-B,B-26-B,C-5-E,C-6-A,C-6-B,C-6-C,C-9-B,D-9-A,D-9-H,D-9-J,D-9-M,E-91-QV,F-4-B,G-1-A,G-1-E,G-1-H,G-1-K,G-1-M,G-1-T,G-2-Z,G-34-A,G-34-E,G-34-H,G-34-K,G-34-N,G-34-S,G-34-T,G-34-U,G-34-V,G-34-W,G-34-Y,G-34-Z,H-1-A,H-1-M,I-5-B,I-6-B,I-25-B,I-26-B,J-11-A,K-9-O,K-9-OA,K-9-Q,K-9-T,K-9-TA,K-9-Z,K-9-ZE,K-19-A,K-29-A,K-39-A,K-49-A,K-59-A,K-69-A,L-12-T,L-21-A,L-21-C,L-21-E,M-5-B,M-6-B,M-7-B,M-9-B,M-25-B,M-26-B,O-9-B,P-9-A,P-9-D,P-9-E,P-9-J,P-17-A,Q-11-A,Q-11-B,Q-11-K,R-18-B,S-1-A,S-1-E,S-1-H,S-1-K,S-1-L,S-1-M,S-2-K,S-3-A,S-3-E,S-3-H,S-3-M,S-3-T,S-4-D,S-4-E,S-4-H,S-4-K,S-4-M,S-4-P,S-4-T,S-4-W,S-4-X,S-4-Y,S-4-Z,S-5-B,S-8-P,S-15-B,T-9-L,T-9-M,T-9-O,T-9-Q,T-9-QA,T-10-A,T-19-A,TB-9A-K,U-11-A,W-22-B,W-22-BV,Y-5-A,Y-6-A,Y-26-A,self
0,13,2,0,0,2,0,1,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,0,10,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,D-9-J
0,2,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,D-9-M
0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E-91-QV
0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F-4-B
0,15,0,0,1,11,1,0,1,1,0,0,0,0,49,14,11,11,3,8,0,5,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,11,8,1,0,4,0,2,0,0,0,7,0,1,0,1,3,0,0,0,27,9,1,9,1,4,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,2,4,1,0,0,0,3,0,G-1-A
0,14,1,1,0,4,1,0,1,5,0,0,0,0,14,105,43,24,5,14,0,0,5,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,8,0,3,0,3,0,1,0,1,0,4,1,0,2,0,0,0,9,37,3,26,6,3,0,0,23,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,G-1-E
0,11,2,0,0,2,0,0,0,4,0,0,0,0,11,43,75,24,6,14,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,0,2,0,3,0,0,0,3,1,0,0,0,0,0,7,16,4,23,7,3,0,0,1,3,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,G-1-H
0,13,1,0,0,3,0,0,0,1,0,1,0,0,11,24,24,70,8,17,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,11,2,0,0,1,1,0,0,0,0,0,5,12,0,43,5,4,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,30,0,0,0,0,0,0,G-1-K
0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,5,6,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,2,3,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,G-1-M
0,5,0,0,1,0,0,0,0,1,0,1,0,0,8,14,14,17,8,32,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,0,1,0,0,0,1,1,0,0,0,0,0,5,8,1,15,2,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,G-1-T
